Product_Name,Size,Milk,Whip,Serving_Size,Calories,Total_Fat(g),Saturated_Fat(g),Trans_Fat(g),Cholesterol(mg),Sodium_mg,Carbohydrates(g),Dietary_Fiber(g),Sugar(g),Protein(g),Vitamin_A(%DV),Vitamin_C(%DV),Calcium(%DV),Iron(%DV),Caffiene_mg
Brewed Coffee - Dark Roast,Short,No Milk,No Whip,236,3.0,0.1,0.0,0.0,0.0,5,0,0,0.0,0.3,0,0,0,0,130
Brewed Coffee - Dark Roast,Tall,No Milk,No Whip,354,4.0,0.1,0.0,0.0,0.0,10,0,0,0.0,0.5,0,0,0,0,193
Brewed Coffee - Dark Roast,Grande,No Milk,No Whip,473,5.0,0.1,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,260
Brewed Coffee - Dark Roast,Venti®,No Milk,No Whip,591,5.0,0.1,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,2,0,340
Brewed Coffee Traveler - Dark Roast,1 - 236 mL serving,No Milk,No Whip,236,3.0,0.1,0.0,0.0,0.0,5,0,0,0.0,0.3,0,0,0,0,130
Brewed Coffee - Decaf Pike Place® Roast,Short,No Milk,No Whip,236,3.0,0.1,0.0,0.0,0.0,5,0,0,0.0,0.3,0,0,0,0,15
Brewed Coffee - Decaf Pike Place® Roast,Tall,No Milk,No Whip,354,4.0,0.1,0.0,0.0,0.0,10,0,0,0.0,0.5,0,0,0,0,20
Brewed Coffee - Decaf Pike Place® Roast,Grande,No Milk,No Whip,473,5.0,0.1,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,25
Brewed Coffee - Decaf Pike Place® Roast,Venti®,No Milk,No Whip,591,5.0,0.1,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,30
Brewed Coffee Traveler - Decaf Pike Place® Roast,1 - 236 mL serving,No Milk,No Whip,236,3.0,0.1,0.0,0.0,0.0,5,0,0,0.0,0.3,0,0,0,0,15
Brewed Coffee - Medium Roast,Short,No Milk,No Whip,236,3.0,0.1,0.0,0.0,0.0,5,0,0,0.0,0.3,0,0,0,0,155
Brewed Coffee - Medium Roast,Tall,No Milk,No Whip,354,4.0,0.1,0.0,0.0,0.0,10,0,0,0.0,0.5,0,0,0,0,235
Brewed Coffee - Medium Roast,Grande,No Milk,No Whip,473,5.0,0.1,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,310
Brewed Coffee - Medium Roast,Venti®,No Milk,No Whip,591,5.0,0.1,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,2,0,410
Brewed Coffee Traveler - Medium Roast,1 - 236 mL serving,No Milk,No Whip,236,3.0,0.1,0.0,0.0,0.0,5,0,0,0.0,0.3,0,0,0,0,155
Brewed Coffee - True North Blend Blonde Roast,Short,No Milk,No Whip,236,3.0,0.1,0.0,0.0,0.0,5,0,0,0.0,0.3,0,0,0,0,180
Brewed Coffee - True North Blend Blonde Roast,Tall,No Milk,No Whip,354,4.0,0.1,0.0,0.0,0.0,10,0,0,0.0,0.5,0,0,0,0,270
Brewed Coffee - True North Blend Blonde Roast,Grande,No Milk,No Whip,473,5.0,0.1,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,360
Brewed Coffee - True North Blend Blonde Roast,Venti®,No Milk,No Whip,591,5.0,0.1,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,2,0,475
Caffè Misto,Short,Nonfat,No Whip,236,35.0,0.1,0.1,0.0,0.0,45,5,0,5.0,4.0,6,0,10,0,75
